2024-10-07 21:45:57,590 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\pom.xml
2024-10-07 21:46:01,478 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ecodeup.mave:maven_proyecto:0.0.1-SNAPSHOT @ C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\pom.xml.
2024-10-07 21:46:02,598 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /maven_proyecto/src/main/java
2024-10-07 21:46:02,599 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /maven_proyecto/src/main/resources
2024-10-07 21:46:02,600 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /maven_proyecto/src/test/java
2024-10-07 21:46:04,342 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 6 sec
2024-10-07 21:46:05,277 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:46:05,282 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:46:05,284 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:46:05,285 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:49:24,066 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:49:24,347 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:49:24,349 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:49:24,533 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:49:49,853 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ecodeup.mave:maven_proyecto:0.0.1-SNAPSHOT @ C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\pom.xml.
2024-10-07 21:49:50,806 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:49:50,809 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:49:50,811 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:49:50,812 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:49:50,813 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of maven_proyecto
2024-10-07 21:49:50,814 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for maven_proyecto
2024-10-07 21:49:50,820 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:49:51,017 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:49:51,018 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:49:51,019 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:49:51,020 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:50:01,383 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-10-07 21:50:01,967 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ecodeup.mave:maven_proyecto:0.0.1-SNAPSHOT @ C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\pom.xml.
2024-10-07 21:50:02,702 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /maven_proyecto/src/main/java
2024-10-07 21:50:02,702 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /maven_proyecto/src/main/resources
2024-10-07 21:50:02,703 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /maven_proyecto/src/test/java
2024-10-07 21:50:02,945 [Worker-6] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for maven_proyecto
2024-10-07 21:50:03,063 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2024-10-07 21:50:03,362 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:50:03,363 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:50:03,365 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:50:03,366 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:50:03,366 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of maven_proyecto
2024-10-07 21:50:03,367 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for maven_proyecto
2024-10-07 21:50:03,371 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:50:50,303 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ecodeup.mave:maven_proyecto:0.0.1-SNAPSHOT @ C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\pom.xml.
2024-10-07 21:50:51,168 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
